Corpus	German	German	German	German	German	German	French	French	French	French	French	French	American English	American English	American English	American English	American English	American English
Painter	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian
1932	1.877068062887994e-08	1.3967566531951953e-08	2.9740585232624586e-09	1.9315310176689796e-08	1.3618334349096983e-08	1.2935426380827104e-09	4.527389916932277e-08	3.049860402321818e-08	8.122880780701638e-10	8.433319515737431e-08	7.491859932429179e-08	1.8315607601999367e-09	3.919569735444384e-08	9.885863239134096e-09	4.002102696861901e-09	3.82067484951319e-08	3.02809863533022e-08	1.3771295631626046e-09
1933	1.6259634147023202e-08	1.1950446219900966e-08	2.302357733035316e-09	1.7299198898764904e-08	1.3208250699519347e-08	1.2036461827236167e-09	4.4104259038541775e-08	2.6543538922396692e-08	3.348420905626069e-10	6.995421537275043e-08	7.425517470746204e-08	1.8315607601999367e-09	4.013159074897235e-08	9.77029295563219e-09	4.4285376001239135e-09	3.968959611760121e-08	3.5530558812573483e-08	1.9998095501001193e-09
1934	1.550569285667182e-08	1.0012977050674214e-08	1.1431140478634916e-09	1.0311358116561159e-08	1.0546583622301447e-08	1.6467867228594661e-09	4.370808832326085e-08	2.1890056370718218e-08	5.14715206964159e-10	7.920305985667905e-08	7.313668096539264e-08	1.6815092810215253e-09	3.986035070267592e-08	8.35569841888579e-09	4.509872602349268e-09	3.559239328662248e-08	4.69225171733407e-08	2.4969779359253407e-09
1935	1.350904550128413e-08	8.160626714064684e-09	1.5659542551560435e-09	7.8146966358312e-09	1.2915817193537293e-08	1.7139098235879097e-09	4.251747703116442e-08	1.8113350184835652e-08	5.14715206964159e-10	7.639844820265093e-08	7.153682903192151e-08	2.0519439798099323e-09	4.054906302794084e-08	9.388546955741667e-09	4.831384149893227e-09	3.538576492141081e-08	4.802188259743291e-08	2.899930819287379e-09
1936	1.1366232082516653e-08	7.3104009829754494e-09	1.5659542551560435e-09	7.772773726242934e-09	1.1111871819505633e-08	1.4305012412713885e-09	4.046452671348431e-08	1.6231051042885676e-08	5.14715206964159e-10	7.771391707933617e-08	7.541573410208002e-08	2.0519439798099323e-09	5.557579590182675e-08	1.7045766576018195e-08	5.846864928723708e-09	4.1205815902247064e-08	5.08294391973355e-08	4.096080768218562e-09
1937	9.091903610932865e-09	5.5085555799345394e-09	1.238345997174e-09	6.736441055770521e-09	1.049451409900521e-08	1.4305012412713885e-09	3.842078553719018e-08	1.9405260636468872e-08	3.508486041375087e-10	7.41263337695435e-08	7.593355683915043e-08	1.3964775685033309e-09	5.490749137899391e-08	1.711502761736483e-08	5.439946160201714e-09	3.98437739944159e-08	5.317660369184653e-08	3.848703094317634e-09
1938	8.198911137315333e-09	5.2610586680807665e-09	1.238345997174e-09	5.129054577882439e-09	1.186710877184741e-08	1.4305012412713885e-09	3.6988758215069795e-08	2.0461402730883752e-08	3.508486041375087e-10	6.15560136196791e-08	6.88822200548397e-08	1.2253121374681898e-09	5.534752440488384e-08	1.912393684680832e-08	5.36513463814511e-09	3.685346834052845e-08	5.2490684814594194e-08	4.651121202467071e-09
1939	6.799612809313008e-09	4.034805791062825e-09	1.5769689046659811e-09	4.436873218034114e-09	1.4403046691821179e-08	1.4305012412713885e-09	3.73475635179992e-08	1.6711982083908846e-08	1.7987311640155212e-10	1.2860005251168006e-07	7.14637065714539e-08	4.271564023129924e-09	5.4495785915621905e-08	2.200237769756086e-08	4.971689710713585e-09	3.5765622844305e-08	5.015269342680183e-08	4.904378458903125e-09
1940	6.214343325642144e-09	2.9621025949515864e-09	1.877611177647509e-09	6.305659803830719e-09	1.2151796965501457e-08	2.153644167763551e-09	4.29347026502975e-08	1.985197193933784e-08	1.7987311640155212e-10	1.3294294807865625e-07	6.210557262115962e-08	4.271564023129924e-09	5.596983930290987e-08	2.6338520190246787e-08	5.0286006628549475e-09	3.6339456650174336e-08	4.631432126700474e-08	5.635391042702054e-09
1941	9.227855432162154e-09	4.477078612603285e-09	2.3716432944504665e-09	8.314668001726692e-09	1.398516788090173e-08	6.045342623320746e-09	4.8195401193749735e-08	2.2184480094214872e-08	0.0	1.290184337778198e-07	5.987934782934547e-08	4.730590617642503e-09	5.876667355916457e-08	3.107867144588486e-08	5.692885797690752e-09	3.714747392231337e-08	3.560077058547709e-08	7.53137625280382e-09
1942	3.101440938989088e-08	9.256747527227764e-09	1.0568577727251442e-08	1.668946098780972e-08	1.2225558660665975e-08	8.119180486662207e-09	5.7199201311927284e-08	3.227691136586941e-08	3.112148634037177e-10	1.4494329723748122e-07	5.2391246515729306e-08	4.671370782257814e-09	5.8880536509978553e-08	3.5415994581455834e-08	7.733974365693136e-09	3.739035874567824e-08	3.578594614290458e-08	1.026476678259566e-08
1943	6.53884875769149e-08	1.5015274579255333e-08	1.5178672890010196e-08	3.185344597613136e-08	2.5475491050030996e-08	1.3688348105793985e-08	6.625476345334391e-08	4.0332633677309104e-08	7.089606996706672e-10	1.5740478761675343e-07	5.638239348420322e-08	5.069116618524763e-09	5.229545685381254e-08	4.066791944471301e-08	7.642151054833489e-09	3.061829672341381e-08	3.7424878941903576e-08	1.096709539056511e-08
