Type	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular
Past	burned	dived	dreamed	dwelled	kneeled	learned	lighted	slinked	spilled	spoiled	strived	waked	burnt	dove	dreamt	dwelt	knelt	learnt	lit	slunk	spilt	spoilt	strove	woke
1830	1.1353563682600257e-05	4.975430272224912e-07	3.360052590193975e-06	2.2783290936396433e-07	1.2641764734715771e-06	0.00011660965330000701	1.2533491566760599e-05	1.5695956122131959e-09	4.573257927274556e-07	5.111782391915247e-06	6.876814647885762e-08	1.2751961873748639e-06	2.5820976329019425e-05	4.905564375284095e-06	1.9787668017150802e-06	1.4345862577361654e-05	2.93136560815453e-06	9.317408447324332e-06	3.841910029223072e-06	4.1758323732210556e-07	1.3767363498118357e-06	5.760997388344029e-07	4.938993535168785e-06	1.0644020481517406e-06
1831	1.1312163483775553e-05	5.073618751794129e-07	3.53763831688931e-06	2.1390698025568e-07	1.2474352096043212e-06	0.00011700904308651973	1.2348206447703497e-05	1.043559508647921e-09	4.5260030187169574e-07	5.031429574436126e-06	5.96100626637508e-08	1.271670709814186e-06	2.534355631464028e-05	4.934563873705754e-06	1.985586225470927e-06	1.438736905713865e-05	3.0068524016054913e-06	8.984267684094707e-06	3.874934171627891e-06	4.1693576641981575e-07	1.3288754092042967e-06	5.782935293804517e-07	4.875537635078737e-06	1.0718496566499068e-06
1832	1.120254858376159e-05	5.440559708144324e-07	3.64716291707217e-06	2.1268213856728835e-07	1.173461279384875e-06	0.00011743030751988824	1.2441029347038629e-05	1.0872416141996917e-09	4.5536886464755557e-07	4.9613799676860386e-06	5.265560990405252e-08	1.2639184530728796e-06	2.4564905158643213e-05	4.801506617825778e-06	1.9945890536681484e-06	1.420679018337978e-05	3.1092432176852266e-06	8.891062796984833e-06	3.937663742752713e-06	4.315322306475926e-07	1.3041071562318912e-06	5.737662921287015e-07	4.982597504619792e-06	1.0996986280328462e-06
1833	1.1152343566729022e-05	5.696147858153771e-07	3.7421073102450464e-06	2.1261405436234782e-07	1.120527762006012e-06	0.00011699842954320567	1.2377448001643643e-05	2.3348538816644495e-09	4.5982898200236377e-07	4.8563565217461606e-06	4.9604350087812625e-08	1.2718489220528032e-06	2.3837065912500422e-05	4.734617635092166e-06	2.0096192006998796e-06	1.4187934799078253e-05	3.1537580135981055e-06	8.729864605681672e-06	3.941247216841605e-06	4.31750964123369e-07	1.2926341891475853e-06	5.898067375450669e-07	4.949896622617546e-06	1.0924641173915006e-06
1834	1.1354586474356307e-05	5.840994471587432e-07	3.926296683078233e-06	2.0499744631966417e-07	1.1489152516982619e-06	0.00011455328785814345	1.2451628338437462e-05	2.3348538816644495e-09	4.450960529668789e-07	4.96204324917926e-06	5.167020944440992e-08	1.2806900063619002e-06	2.3985124893702698e-05	4.727910696341756e-06	2.0020489565857654e-06	1.4239114924358936e-05	3.1384440392555135e-06	8.578436206464954e-06	4.050515307036611e-06	4.269988827283149e-07	1.2951767627912756e-06	5.970647488798672e-07	4.9200755906245575e-06	1.1357598493434904e-06
1835	1.1596998514765541e-05	5.890720850792215e-07	4.0421917414538e-06	1.9901786377626456e-07	1.1400388757465407e-06	0.00011281848544188376	1.2546612457039633e-05	3.0092667881374625e-09	4.36738836080102e-07	4.885929196721658e-06	5.3110240015387585e-08	1.2932903895749144e-06	2.3945102449423367e-05	4.758839168061968e-06	2.01661139596711e-06	1.4333775782558536e-05	3.242463890273939e-06	8.581587345750969e-06	4.1286354449506945e-06	4.1687558954046313e-07	1.2636430873109411e-06	6.154137070422751e-07	4.9173955695940615e-06	1.215212104658089e-06
1836	1.189339400298195e-05	6.068212314858101e-07	4.262654004248491e-06	2.2042938293712462e-07	1.1696815980550518e-06	0.00011444201040181465	1.3118954354597787e-05	4.064910154509351e-09	4.186971693798114e-07	5.043447280123863e-06	5.653872087967622e-08	1.354840037492977e-06	2.499052035480937e-05	5.069295639259508e-06	2.1311086909138666e-06	1.4940565701441041e-05	3.470336261151325e-06	9.082799546636774e-06	4.305951798804537e-06	4.427147278615199e-07	1.2849704457299334e-06	6.522084520708762e-07	5.178895272755264e-06	1.3302158907078722e-06
1837	1.2142117027126784e-05	5.935500634482846e-07	4.350286937031862e-06	2.2116415315005205e-07	1.1801441814895952e-06	0.00011117360034924266	1.3107201734133664e-05	4.839324274641399e-09	4.1136884679612453e-07	4.995270696131879e-06	5.9464252696475994e-08	1.3647512397645706e-06	2.502264396753162e-05	5.105322088638786e-06	2.1037852288178068e-06	1.4958925151274474e-05	3.5667913899877542e-06	9.002749460965528e-06	4.317916526425896e-06	4.32110843868421e-07	1.2813820506250652e-06	6.503170441517016e-07	5.233790229145338e-06	1.4039001793467572e-06
1838	1.256188599134995e-05	5.995879551587027e-07	4.411134926028483e-06	2.140859639406959e-07	1.1597508254063932e-06	0.00010800742893479764	1.3482741711153981e-05	6.087155065718061e-09	4.0694576698894836e-07	5.028094100063234e-06	5.983447388351643e-08	1.373752265213365e-06	2.4887661701151436e-05	5.093213855746269e-06	2.0746073719887396e-06	1.5008371389870132e-05	3.6371863123869323e-06	8.91144801633865e-06	4.430308048800466e-06	4.240589005023919e-07	1.2737951270277596e-06	6.682114985778753e-07	5.30640376642363e-06	1.4783905888699728e-06
1839	1.323969224488662e-05	5.927476698681338e-07	4.47711636297754e-06	2.111817199842595e-07	1.157772317128547e-06	0.00010680002950331462	1.3847870442467475e-05	6.144200450007377e-09	4.130871421434027e-07	5.009382285996773e-06	6.175528101591356e-08	1.3861125580660882e-06	2.480570349559587e-05	5.141885464711647e-06	2.081936600006884e-06	1.504043627522021e-05	3.719884359400437e-06	8.758232849816392e-06	4.470758670192611e-06	4.2923552915194054e-07	1.2560951095760435e-06	6.84171376568494e-07	5.324500891999508e-06	1.5759747092098614e-06
1840	1.3678311526226545e-05	5.902090346613217e-07	4.544517521156065e-06	2.1199273143273395e-07	1.159745222269391e-06	0.0001064584607125393	1.4162623301672284e-05	5.339865375272471e-09	4.0535443141769587e-07	5.044353396702458e-06	6.560833146603987e-08	1.3736402836782093e-06	2.4815197321004234e-05	5.1221810671060145e-06	2.0937033501208395e-06	1.5077195842293025e-05	3.825563648466154e-06	8.673787955818365e-06	4.553624811316175e-06	4.3249770393621087e-07	1.2190783016714185e-06	7.157599140685176e-07	5.398867285423746e-06	1.640434236703316e-06
1841	1.4057199743027532e-05	5.960535937837059e-07	4.655698571046482e-06	2.2877949845678813e-07	1.1523268312885193e-06	0.00010635021213342302	1.4362023648573086e-05	5.689753462030061e-09	4.1806127017350393e-07	4.9923585590607085e-06	6.825868023189027e-08	1.3867365851183422e-06	2.438150815058699e-05	5.1266671497225095e-06	2.0767631342875703e-06	1.531506950414041e-05	3.986584131000979e-06	8.659227465354239e-06	4.600219264310519e-06	4.424720754871357e-07	1.1883798996288014e-06	7.462299111336636e-07	5.5396040547098635e-06	1.6855924676357453e-06
1842	1.433340379922551e-05	5.920623412488826e-07	4.727515196074299e-06	2.2671351627780366e-07	1.1330519587967762e-06	0.00010435667978267052	1.446315101410229e-05	5.110060692053204e-09	4.079319353422761e-07	4.980397664309878e-06	7.967382030317691e-08	1.3660712576373563e-06	2.430028715545112e-05	5.079800303064985e-06	2.07885552429486e-06	1.5216417653261618e-05	4.048687839843167e-06	8.598491149314214e-06	4.671869906555262e-06	4.439824497889536e-07	1.1941943317391894e-06	7.578164107664114e-07	5.634229247724372e-06	1.6849316710119768e-06
1843	1.454441917303484e-05	6.088574277133116e-07	4.794767197121733e-06	2.0153923482471976e-07	1.1289251265874815e-06	0.00010326968809489958	1.4561241576822276e-05	4.574313753177453e-09	4.0923478650256584e-07	5.002658391666566e-06	8.067957628960748e-08	1.3225649289389757e-06	2.3756095678046612e-05	4.977336629963247e-06	2.0862799894010616e-06	1.5143453830595327e-05	4.1150680252550435e-06	8.394751213407809e-06	4.654043095797533e-06	4.375386838871366e-07	1.1799989871568478e-06	7.668980077011968e-07	5.630658636489118e-06	1.674313141718033e-06
1844	1.4829732208454516e-05	6.201655976058516e-07	4.873091256740736e-06	2.045318256347985e-07	1.1021796321334217e-06	0.00010210512534415881	1.4661113319951774e-05	3.933465347089842e-09	4.205917402292211e-07	4.980972335033584e-06	7.924067142133546e-08	1.2987792225820677e-06	2.359303367224389e-05	4.966571265997897e-06	2.0991892922341193e-06	1.520862172453365e-05	4.224744576017006e-06	8.381470252061263e-06	4.711593386933341e-06	4.371360294693919e-07	1.1465559087550252e-06	7.686142891673496e-07	5.714664894185262e-06	1.679889935855629e-06
1845	1.484397489548428e-05	6.245078176496983e-07	5.0256665287763876e-06	2.2727605093158282e-07	1.107141916431179e-06	0.00010207179522175076	1.4625643806149518e-05	2.8073831354851516e-09	4.248577007664218e-07	4.949189263113242e-06	8.187628048566304e-08	1.3019991586458803e-06	2.3406619740334073e-05	5.009298157736859e-06	2.139659240388677e-06	1.515536925061107e-05	4.3164536691620015e-06	8.507247522564804e-06	4.694261666112912e-06	4.39541042039439e-07	1.1259671249977795e-06	7.815112163760724e-07	5.819532426747693e-06	1.7284497581775732e-06
1846	1.4758760568968552e-05	6.146130593671322e-07	5.096831500850385e-06	2.2033724584551756e-07	1.0976915193948246e-06	0.0001005888864580941	1.4511850037836536e-05	2.710479832642879e-09	4.2017803788699635e-07	4.936252415583502e-06	8.384330690042979e-08	1.2640786053452757e-06	2.3292060307410012e-05	4.9764113490320076e-06	2.132395366061246e-06	1.5265613001247402e-05	4.36498560572675e-06	8.616152497000127e-06	4.797022873909944e-06	4.3887336736198837e-07	1.101077145904128e-06	7.911009609935198e-07	5.878657442995713e-06	1.7336467408313183e-06
